SECTION,ITEM,UNIT,YEAR_1,YEAR_2,YEAR_3,YEAR_4,YEAR_5,SOURCE / BASIS
ASSUMPTIONS,Protocol fee (protocolFeeBps),%,5.0,5.0,5.0,5.0,5.0,Contract default: AIModelMarketplace.protocolFeeBps=500; ceiling MAX_PROTOCOL_FEE_BPS=1000
ASSUMPTIONS,Burn share of fee (burnShareBps),%,30.0,30.0,30.0,30.0,30.0,Contract default: AIModelMarketplace.burnShareBps=3000
ASSUMPTIONS,Treasury share of fee,%,70.0,70.0,70.0,70.0,70.0,Derived: fee - burn (AIModelMarketplace._settlePayment)
ASSUMPTIONS,Auction protocol fee,%,0.0,0.0,0.0,0.0,0.0,GAP: SealedBidLicenceAuction.settle() pays seller in full; no protocol fee in code. Modelled at zero.
ASSUMPTIONS,No-reveal penalty accrues to,-,seller,seller,seller,seller,seller,"SealedBidLicenceAuction.withdrawCollateral() transfers penalty to a.seller, not treasury"
ASSUMPTIONS,Discount rate (NPV),%,30.0,30.0,30.0,30.0,30.0,"ESTIMATE, NOT SOURCED: seed-stage venture hurdle convention; NPV also run at 20% and 40%"
ASSUMPTIONS,Terminal growth rate,%,5.0,5.0,5.0,5.0,5.0,"ESTIMATE, NOT SOURCED: long-run nominal growth convention"
ASSUMPTIONS,Year-0 pre-mainnet outlay,USD,-600000.0,,,,,ESTIMATE: audit round 1 + testnet ops + legal/regulatory opinion
ASSUMPTIONS,NEXA reference price,USD/NEXA,0.05,0.05,0.05,0.05,0.05,"MODELLING CONVENTION ONLY, NOT A PRICE FORECAST. USD lines are invariant to this."
ASSUMPTIONS,Assumed annual emission,NEXA,24000000,24000000,24000000,24000000,24000000,ESTIMATE: 2.0M/epoch x 12; ceiling is NexusAIToken.MAX_EPOCH_EMISSION=12.5M/30d
ASSUMPTIONS,Genesis supply to treasury,NEXA,400000000,,,,,NexusAIToken deployment doc: 400M of 1B MAX_SUPPLY
ASSUMPTIONS,Escrow dispute window,days,7,7,7,7,7,AIModelMarketplace.disputeWindow = 7 days
ASSUMPTIONS,Staking lock multipliers,x,1.00 / 1.25 / 1.60 / 2.20,,,,,StakingVault constructor tiers: 0d/90d/180d/365d
ASSUMPTIONS,Max slash per event,%,30.0,,,,,StakingVault.MAX_SLASH_BPS = 3000
